,Metal,Subcategory,Country,Percentage,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,Category,URL,Rank Order,Color,Color Code
52,Silicon,Silicon metal,Norway,13,Norway,NO,NOR,578.0,ISO 3166-2:NO,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-Norway,1.0,#3498DB,#3498DB
53,Silicon,Silicon metal,Australia,8,Australia,AU,AUS,36.0,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Australia /,2.0,#5DADE2,#5DADE2
54,Silicon,Silicon metal,Other,28,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
55,Silicon,Total,Russia,21,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
56,Silicon,Total,Brazil,20,Brazil,BR,BRA,76.0,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Brazil,2.0,#5DADE2,#5DADE2
57,Silicon,Total,Canada,17,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
58,Silicon,Total,Norway,7,Norway,NO,NOR,578.0,ISO 3166-2:NO,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-Norway,1.0,#3498DB,#3498DB
59,Silicon,Total,Other,35,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
60,Tantalum,Tantalum ores and concentrates,Australia,36,Australia,AU,AUS,36.0,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Australia /,2.0,#5DADE2,#5DADE2
61,Tantalum,Tantalum ores and concentrates,Rwanda,34,Rwanda,RW,RWA,646.0,ISO 3166-2:RW,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Limited Partner,https://www.state.gov/u-s-relations-with-Rwanda/,5.0,#58D68D,#58D68D
62,Tantalum,Tantalum ores and concentrates,Congo (Kinshasa),7,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
63,Tantalum,Tantalum ores and concentrates,Mozambique,6,Mozambique,MZ,MOZ,508.0,ISO 3166-2:MZ,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Limited Partner,https://www.state.gov/u-s-relations-with-Mozambique/,5.0,#58D68D,#58D68D
64,Tantalum,Tantalum ores and concentrates,Other,17,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
65,Tantalum,Tantalum metal and powder,China,39,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
66,Tantalum,Tantalum metal and powder,Germany,22,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Germany,1.0,#3498DB,#3498DB
67,Tantalum,Tantalum metal and powder,Kazakhstan,12,Kazakhstan,KZ,KAZ,398.0,ISO 3166-2:KZ,Asia,Central Asia,,142.0,143.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Kazakhstan,2.0,#5DADE2,#5DADE2
68,Tantalum,Tantalum metal and powder,Thailand,12,Thailand,TH,THA,764.0,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Thailand,2.0,#5DADE2,#5DADE2
69,Tantalum,Tantalum metal and powder,Other,15,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
70,Tantalum,Tantalum waste and scrap,Indonesia,20,Indonesia,ID,IDN,360.0,ISO 3166-2:ID,Asia,South-eastern Asia,,142.0,35.0,,Strategic Partner,https://www.state.gov/u-s-relations-with-Indonesia,3.0,#AED6F1,#AED6F1
71,Tantalum,Tantalum waste and scrap,China,17,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
72,Tantalum,Tantalum waste and scrap,Japan,16,Japan,JP,JPN,392.0,ISO 3166-2:JP,Asia,Eastern Asia,,142.0,30.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Japan,2.0,#5DADE2,#5DADE2
73,Tantalum,Tantalum waste and scrap,Other,47,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
74,Tantalum,Total,China,23,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
75,Tantalum,Total,Germany,11,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Germany,1.0,#3498DB,#3498DB
76,Tantalum,Total,Australia,8,Australia,AU,AUS,36.0,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Australia /,2.0,#5DADE2,#5DADE2
77,Tantalum,Total,Indonesia,8,Indonesia,ID,IDN,360.0,ISO 3166-2:ID,Asia,South-eastern Asia,,142.0,35.0,,Strategic Partner,https://www.state.gov/u-s-relations-with-Indonesia,3.0,#AED6F1,#AED6F1
78,Tantalum,Total,Other,50,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
79,Tin,Refined tin,Indonesia,25,Indonesia,ID,IDN,360.0,ISO 3166-2:ID,Asia,South-eastern Asia,,142.0,35.0,,Strategic Partner,https://www.state.gov/u-s-relations-with-Indonesia,3.0,#AED6F1,#AED6F1
80,Tin,Refined tin,Peru,22,Peru,PE,PER,604.0,ISO 3166-2:PE,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,NATO Member,https://www.state.gov/u-s-relations-with-Peru,1.0,#3498DB,#3498DB
81,Tin,Refined tin,Malaysia,19,Malaysia,MY,MYS,458.0,ISO 3166-2:MY,Asia,South-eastern Asia,,142.0,35.0,,Strong Partner,https://www.state.gov/u-s-relations-with-Malaysia,4.0,#27AE60,#27AE60
82,Tin,Refined tin,Bolivia,17,Bolivia,BO,BOL,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Very Limited Partner,https://www.state.gov/u-s-relations-with-Bolivia,7.0,#F9E79F,#F9E79F
83,Tin,Refined tin,Other,17,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
84,Tin,Waste and scrap,Canada,99,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
85,Tin,Waste and scrap,Other,1,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
86,Titanium,Total,South Africa,41,South Africa,ZA,ZAF,710.0,ISO 3166-2:ZA,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Strategic Partner,https://www.state.gov/u-s-relations-with-South Africa,3.0,#AED6F1,#AED6F1
87,Titanium,Total,Australia,17,Australia,AU,AUS,36.0,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Australia /,2.0,#5DADE2,#5DADE2
88,Titanium,Total,Madagascar,12,Madagascar,MG,MDG,450.0,ISO 3166-2:MG,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Limited Partner,https://www.state.gov/u-s-relations-with-Madagascar/,5.0,#58D68D,#58D68D
89,Titanium,Total,Mozambique,8,Mozambique,MZ,MOZ,508.0,ISO 3166-2:MZ,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Limited Partner,https://www.state.gov/u-s-relations-with-Mozambique/,5.0,#58D68D,#58D68D
